group_reg,log10_group_reg,group,var_name,group_size,l2_norm_raw,l2_norm_normed,auc,acc,nnz
1e-06,-6.0,0,CATAG6,5,0.47993701222045154,0.21463435684861537,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,1,IRSEX,2,0.45277560640803016,0.3201607016469693,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,2,NEWRACE2,7,0.929690425752452,0.3513899518312496,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,3,IRMARIT,4,0.21768754414704497,0.10884377207352249,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,4,IREDUHIGHST2,11,0.8147761597897256,0.24566425546810697,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,5,IRWRKSTAT18,4,0.23898236013571245,0.11949118006785622,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,6,IRINSUR4,2,0.4396952679015497,0.31091150558882147,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,7,INCOME,4,0.0709344605039966,0.0354672302519983,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,8,IRPYUD5ALC,2,0.17368586783860818,0.12281445494495032,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,9,IRPYUD5MRJ,2,0.23230416559020428,0.16426385078671607,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,10,ILLYR,2,0.33915893237407324,0.23982158098169687,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,11,IRAMDEYR,2,1.2178328688301454,0.861137879901663,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,12,RSKCIGPKD,4,0.0780491851293059,0.03902459256465295,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,13,RSKMRJWK,4,0.3472792028286174,0.1736396014143087,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,14,IRALCFY,1,0.08269185601169823,0.08269185601169823,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,15,IRMJFY,1,0.0695128125360941,0.0695128125360941,0.7353810582669117,0.7263245502338053,58
1e-06,-6.0,16,KSSLR6YR,1,0.04826110480037271,0.04826110480037271,0.7353810582669117,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,0,CATAG6,5,0.47966458780258725,0.2145125249452003,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,1,IRSEX,2,0.4527732069474023,0.32015900497208816,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,2,NEWRACE2,7,0.928920959081081,0.35109912076630667,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,3,IRMARIT,4,0.21756120761503694,0.10878060380751847,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,4,IREDUHIGHST2,11,0.8058213840056107,0.24296428898104605,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,5,IRWRKSTAT18,4,0.238823908673287,0.1194119543366435,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,6,IRINSUR4,2,0.4396172643686274,0.3108563487617356,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,7,INCOME,4,0.07082935872694676,0.03541467936347338,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,8,IRPYUD5ALC,2,0.17360666764147825,0.12275845194848843,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,9,IRPYUD5MRJ,2,0.23213409146114825,0.16414359021675615,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,10,ILLYR,2,0.3391541364574404,0.23981818975652378,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,11,IRAMDEYR,2,1.2177738436531713,0.8610961427987639,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,12,RSKCIGPKD,4,0.07791376552157737,0.03895688276078869,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,13,RSKMRJWK,4,0.34720709428669694,0.17360354714334847,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,14,IRALCFY,1,0.0826495534852587,0.0826495534852587,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,15,IRMJFY,1,0.0694299057203753,0.0694299057203753,0.7353797723670064,0.7263245502338053,58
2.310129700083158e-06,-5.636363636363637,16,KSSLR6YR,1,0.04825925485633725,0.04825925485633725,0.7353797723670064,0.7263245502338053,58
5.336699231206313e-06,-5.2727272727272725,0,CATAG6,5,0.479038859419208,0.21423269070506287,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,1,IRSEX,2,0.45276880165866734,0.3201558899625506,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,2,NEWRACE2,7,0.9273185574606717,0.35049346988229957,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,3,IRMARIT,4,0.21726648839258622,0.10863324419629311,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,4,IREDUHIGHST2,11,0.7863861595002746,0.23710434830827148,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,5,IRWRKSTAT18,4,0.23847228062776635,0.11923614031388317,0.7353887853205442,0.7273875504440308,58
5.336699231206313e-06,-5.2727272727272725,6,IRINSUR4,2,0.4394434520305271,0.310733444878811,0.7353887853205442,0.7273875504440308,58
