,OR,2.5%,97.5%,p-value
IREDUHIGHST2_3,5.145704469307891,2.025858117217835,13.070152475346356,0.0005723817219668925
IREDUHIGHST2_5,4.473182120493384,2.248388610180497,8.899421653579434,1.9681792099612342e-05
IRAMDEYR_1.0,2.931080703696567,2.6023887431344557,3.3012877550471664,2.918656127325812e-70
CATAG6_4,2.6765004247055573,2.2442158553522855,3.192052362683497,6.352096386936756e-28
IREDUHIGHST2_7,2.654010387520671,1.3662899631939445,5.155399898131113,0.003961128175129702
IREDUHIGHST2_4,2.4860320974961505,1.15500324203792,5.350942200713062,0.019890904536829596
IREDUHIGHST2_6,2.457650029520811,1.2098020505885645,4.99258838639361,0.012895206386608606
ILLYR_1.0,2.3872414309320593,2.128418685234715,2.677537877811897,5.900762780585855e-50
IRPYUD5ALC_1,2.3156610999616305,2.0657041147638986,2.595863701655256,4.59003315284346e-47
IRMARIT_2.0,1.9930424767820325,1.579752778172284,2.5144556598616457,6.010222257777313e-09
CATAG6_5,1.9263081435152531,1.588692133746126,2.3356715784973776,2.5859851332328687e-11
CATAG6_3,1.8292695264224927,1.5303471036267966,2.1865804119651604,3.2667875322341696e-11
IREDUHIGHST2_8,1.827348577531091,0.9589580714053606,3.4821155620613045,0.06686601203455327
IRMARIT_3.0,1.743915573484477,1.5162470070565501,2.0057691875320325,6.617759005702388e-15
IRINSUR4_1.0,1.7133884636040386,1.4386501906625864,2.0405933605439825,1.5526084961577088e-09
IREDUHIGHST2_9,1.5557675901474768,0.8129324402744768,2.9773849272592248,0.18201427992254204
IRPYUD5MRJ_1,1.5494350449243102,1.3524580880582666,1.7751004483150905,2.750862111115697e-10
IRMARIT_4.0,1.50744185625867,1.308677390789894,1.7363950550326364,1.2784453258051596e-08
NEWRACE2_4,1.465286633736801,0.8612251186727271,2.4930356447529824,0.15883928869360087
IRWRKSTAT18_4.0,1.459465852699552,1.280882813106857,1.66294726839959,1.3685053018900523e-08
NEWRACE2_3,1.4049087291151738,0.8469054164969021,2.330565490191587,0.18800490298243577
IRWRKSTAT18_3.0,1.4005571451160557,1.1455005085649108,1.712404579543216,0.0010220796160406707
IREDUHIGHST2_2,1.3962226113966216,0.5407853668516349,3.604826794638531,0.4903859379001344
IRWRKSTAT18_2.0,1.3343343303159299,1.1426530859714827,1.558170302884121,0.0002670444650641923
IREDUHIGHST2_10,1.1953812179968837,0.61558005386706,2.3212842056255196,0.5981529383206301
IREDUHIGHST2_11,1.0700518845987579,0.5571960467303152,2.054951829705896,0.8388513322183359
IRSEX_2,0.8754859899734684,0.7934180229435802,0.9660427372146145,0.008099719493202673
CATAG6_6,0.8708056127700816,0.6773733381113736,1.1194748487534911,0.28042117025617286
NEWRACE2_7,0.8414407268258575,0.7389809431021622,0.9581065700950626,0.009161552705842759
NEWRACE2_6,0.7205623424243152,0.5322417216140513,0.9755155754146516,0.03397669613444451
INCOME_2,0.6931503288147587,0.606790541150614,0.7918010347111717,6.719666702994382e-08
NEWRACE2_5,0.6816733969554363,0.5219186221207087,0.8903277262432944,0.004914648968464453
INCOME_3,0.6305020514548609,0.5324812597399774,0.7465668126666322,8.78708542870298e-08
NEWRACE2_2,0.621561414705772,0.5274981126975339,0.7323980559387635,1.3481395574049778e-08
INCOME_4,0.5404162268371518,0.4632438262048606,0.6304448795821632,4.955244458338894e-15
const,0.005738707846076044,0.0028797327866989663,0.011436049863628334,1.0265671309615405e-48
