group_reg,log10_group_reg,group,var_name,group_size,l2_norm_raw,l2_norm_normed,auc,acc,nnz
1e-06,-6.0,0,CATAG6,5,0.8994395586046485,0.40224159893848,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,1,IRSEX,2,0.09399358750223592,0.06646350311088214,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,2,NEWRACE2,7,0.5598306129506752,0.2115960825983346,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,3,IRMARIT,4,0.37250370113006936,0.18625185056503468,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,4,IREDUHIGHST2,11,1.3304949479312183,0.4011593207046632,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,5,IRWRKSTAT18,4,0.22235641627116595,0.11117820813558298,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,6,IRINSUR4,2,0.2574446667854408,0.18204086966429633,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,7,INCOME,4,0.4707555348519101,0.23537776742595504,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,8,IRPYUD5ALC,2,0.7740742893653878,0.5473531791524235,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,9,IRPYUD5MRJ,2,0.4368933517717485,0.30893025169312305,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,10,ILLYR,2,0.5307717208526053,0.37531228307693043,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,11,IRAMDEYR,2,0.6817308120860739,0.4820564801698748,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,12,RSKCIGPKD,4,0.22896733594084764,0.11448366797042382,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,13,RSKMRJWK,4,0.14588791989989608,0.07294395994994804,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,14,IRALCFY,1,0.16779281622042522,0.16779281622042522,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,15,IRMJFY,1,0.09060097453579591,0.09060097453579591,0.7765006634364973,0.7751264948655721,58
1e-06,-6.0,16,KSSLR6YR,1,0.09089250167740096,0.09089250167740096,0.7765006634364973,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,0,CATAG6,5,0.8992077929183413,0.402137950172593,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,1,IRSEX,2,0.09395705711667997,0.06643767222753616,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,2,NEWRACE2,7,0.5577813443491487,0.21082153187130429,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,3,IRMARIT,4,0.3722910245105335,0.18614551225526674,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,4,IREDUHIGHST2,11,1.3271494513415159,0.4001506155296217,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,5,IRWRKSTAT18,4,0.22223632196406598,0.11111816098203299,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,6,IRINSUR4,2,0.25730988810928385,0.18194556674842638,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,7,INCOME,4,0.4707246637971036,0.2353623318985518,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,8,IRPYUD5ALC,2,0.7739817573126735,0.5472877491104721,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,9,IRPYUD5MRJ,2,0.4367626740870608,0.3088378486161307,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,10,ILLYR,2,0.5307470753853136,0.375294856099883,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,11,IRAMDEYR,2,0.6816603685494351,0.48200666906742673,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,12,RSKCIGPKD,4,0.22886990076321986,0.11443495038160993,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,13,RSKMRJWK,4,0.1458322173708501,0.07291610868542504,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,14,IRALCFY,1,0.16775404958146084,0.16775404958146084,0.7765275439105889,0.7751264948655721,58
2.310129700083158e-06,-5.636363636363637,15,IRMJFY,1,0.09051977388872981,0.09051977388872981,0.7765275439105889,0.7751264948655721,58
