feature,coef
IRPYUD5ALC_1.0,1.1558637298388112
ILLYR_1.0,1.093997980967798
IRMARIT_2.0,0.8009327806110053
IREDUHIGHST2_5.0,0.795970970932588
CATAG6_4.0,0.7613477618542103
IREDUHIGHST2_3.0,0.7233107886744881
IRMARIT_3.0,0.7116393363326039
IRPYUD5MRJ_1.0,0.644193381390065
IRINSUR4_1.0,0.5401255425135891
IREDUHIGHST2_11.0,-0.5103175597676485
NEWRACE2_4.0,0.5081267707819274
IREDUHIGHST2_6.0,0.4750381972448238
NEWRACE2_5.0,-0.46703645010588046
IRWRKSTAT18_4.0,0.463746250008548
NEWRACE2_2.0,-0.45008396089712316
INCOME_4.0,-0.4425792535921569
CATAG6_5.0,0.42976687020586024
IREDUHIGHST2_10.0,-0.42641400161046883
IRMARIT_4.0,0.42262237329818464
IREDUHIGHST2_4.0,0.4176969929899418
CATAG6_6.0,-0.4158915882061199
IRWRKSTAT18_3.0,0.3887006704088301
CATAG6_3.0,0.36829520405584537
IRWRKSTAT18_2.0,0.35368597541982266
INCOME_3.0,-0.33789313336127863
NEWRACE2_6.0,-0.29259482310896334
RSKCIGPKD_3.0,-0.2924392126173175
INCOME_2.0,-0.26760439723752333
RSKMRJWK_4.0,-0.2616427876657205
KSSLR6YR,0.2558155730096978
RSKCIGPKD_4.0,-0.24962972635249253
NEWRACE2_7.0,-0.232185394003318
CATAG6_2.0,-0.22869972544773676
IREDUHIGHST2_2.0,0.22194845378039324
IRALCFY,-0.1840288076870691
IREDUHIGHST2_7.0,0.17772028220329172
IRMJFY,-0.17478740018494945
NEWRACE2_3.0,0.16241428784804204
IREDUHIGHST2_9.0,-0.12264506009682173
RSKMRJWK_2.0,-0.06641084799672939
IRSEX_2.0,-0.06567613045975673
RSKMRJWK_3.0,-0.06332311869787444
RSKCIGPKD_2.0,0.037104501222623834
